english,vietnamese,part_of_speech
inside,bên trong,preposition
instead,thay vào đó,adverb
institution,tổ chức,noun
interest,sự quan tâm,noun
interesting,thú vị,adjective
international,quốc tế,adjective
interview,phỏng vấn,noun
into,vào,preposition
investment,đầu tư,noun
involve,liên quan,verb
issue,vấn đề,noun
item,mục,noun
itself,chính nó,pronoun
job,công việc,noun
join,tham gia,verb
just,chỉ,adverb
keep,giữ,verb
key,chìa khóa,noun
kid,trẻ con,noun
kind,tử tế,adjective
kitchen,nhà bếp,noun
know,biết,verb
knowledge,kiến thức,noun
land,đất,noun
language,ngôn ngữ,noun
large,lớn,adjective
last,cuối cùng,adjective
late,muộn,adjective
later,sau đó,adverb
laugh,cười,verb
law,luật,noun
lawyer,luật sư,noun
lead,dẫn dắt,verb
leader,lãnh đạo,noun
learn,học,verb
least,ít nhất,adverb
leave,rời đi,verb
left,bên trái,adjective
leg,chân,noun
legal,hợp pháp,adjective
less,ít hơn,adverb
let,cho phép,verb
letter,thư,noun
level,mức độ,noun
life,cuộc sống,noun
light,ánh sáng,noun
like,thích,verb
likely,có khả năng,adjective
line,dòng,noun
list,danh sách,noun
listen,lắng nghe,verb
little,ít,adjective
live,sống,verb
local,địa phương,adjective
long,dài,adjective
look,nhìn,verb
lose,mất,verb
loss,sự mất mát,noun
lot,nhiều,noun
love,tình yêu,noun
low,thấp,adjective
machine,máy móc,noun
magazine,tạp chí,noun
main,chính,adjective
maintain,duy trì,verb
major,lớn,adjective
make,làm,verb
man,đàn ông,noun
manage,quản lý,verb
management,quản lý,noun
manager,người quản lý,noun
many,nhiều,determiner
market,thị trường,noun
marriage,hôn nhân,noun
material,vật liệu,noun
matter,vấn đề,noun
may,có thể,modal
maybe,có lẽ,adverb
mean,có nghĩa,verb
measure,đo lường,verb
media,phương tiện truyền thông,noun
medical,y tế,adjective
meet,gặp,verb
meeting,cuộc họp,noun
member,thành viên,noun
memory,trí nhớ,noun
mention,đề cập,verb
message,tin nhắn,noun
method,phương pháp,noun
middle,giữa,noun
might,có thể,modal
military,quân đội,noun
million,triệu,numeral
mind,tâm trí,noun
minute,phút,noun
miss,bỏ lỡ,verb
mission,nhiệm vụ,noun
model,mô hình,noun
modern,hiện đại,adjective
moment,khoảnh khắc,noun
money,tiền,noun
month,tháng,noun
more,nhiều hơn,adverb
morning,buổi sáng,noun
most,hầu hết,adverb
mother,mẹ,noun
mouth,miệng,noun
move,di chuyển,verb
movement,chuyển động,noun
movie,phim,noun
much,nhiều,adverb
music,âm nhạc,noun
must,phải,modal
myself,chính tôi,pronoun
name,tên,noun
nation,quốc gia,noun
national,quốc gia,adjective
natural,tự nhiên,adjective
nature,thiên nhiên,noun
near,gần,preposition
nearly,gần như,adverb
necessary,cần thiết,adjective
need,cần,verb
network,mạng lưới,noun
never,không bao giờ,adverb
new,mới,adjective
news,tin tức,noun
next,tiếp theo,adjective
nice,tốt,adjective
night,đêm,noun
none,không ai,pronoun
north,bắc,noun
not,không,adverb
note,ghi chú,noun
nothing,không có gì,pronoun
notice,chú ý,verb
number,số,noun
occur,xảy ra,verb
off,tắt,adverb
offer,đề nghị,verb
office,văn phòng,noun
officer,sĩ quan,noun
official,chính thức,adjective
often,thường xuyên,adverb
oil,dầu,noun
old,già,adjective
once,một lần,adverb
one,một,numeral
only,chỉ,adverb
open,mở,verb
operation,hoạt động,noun
opportunity,cơ hội,noun
option,lựa chọn,noun
order,đặt hàng,noun
organization,tổ chức,noun
other,khác,adjective
others,những người khác,pronoun
our,của chúng tôi,pronoun
out,ra ngoài,adverb
outside,bên ngoài,preposition
over,trên,preposition
own,sở hữu,verb
owner,chủ sở hữu,noun
page,trang,noun
pain,đau,noun
painting,bức tranh,noun
paper,giấy,noun
parent,cha mẹ,noun
part,phần,noun
participant,người tham gia,noun
particular,cụ thể,adjective
partner,đối tác,noun
party,bữa tiệc,noun
pass,đi qua,verb
past,quá khứ,noun
patient,bệnh nhân,noun
pattern,mẫu,noun
pay,trả tiền,verb
peace,hòa bình,noun
people,người,noun
per,cho mỗi,preposition
perform,thực hiện,verb
performance,hiệu suất,noun
perhaps,có lẽ,adverb
period,khoảng thời gian,noun
person,người,noun
personal,cá nhân,adjective
phone,điện thoại,noun
physical,vật lý,adjective
pick,chọn,verb
picture,bức ảnh,noun
piece,mảnh,noun
place,nơi,noun
plan,kế hoạch,noun
plant,cây,noun
play,chơi,verb
player,người chơi,noun
point,điểm,noun
police,cảnh sát,noun
policy,chính sách,noun
political,chính trị,adjective
poor,nghèo,adjective
popular,phổ biến,adjective
population,dân số,noun
position,vị trí,noun
positive,tích cực,adjective
possible,có thể,adjective
power,sức mạnh,noun
practice,thực hành,noun
prepare,chuẩn bị,verb
present,hiện tại,adjective
president,tổng thống,noun
pressure,áp lực,noun
pretty,khá,adverb
prevent,ngăn chặn,verb
price,giá,noun
private,riêng tư,adjective
probably,có lẽ,adverb
problem,vấn đề,noun
process,quá trình,noun
produce,sản xuất,verb
product,sản phẩm,noun
production,sự sản xuất,noun
professional,chuyên nghiệp,adjective
professor,giáo sư,noun
program,chương trình,noun
project,dự án,noun
property,tài sản,noun
protect,bảo vệ,verb
provide,cung cấp,verb
public,công cộng,adjective
purpose,mục đích,noun
push,đẩy,verb
put,đặt,verb
quality,chất lượng,noun
question,câu hỏi,noun
quickly,nhanh chóng,adverb
quite,khá,adverb
race,cuộc đua,noun
radio,đài phát thanh,noun
raise,nâng lên,verb
range,phạm vi,noun
rate,tỷ lệ,noun
rather,khá,adverb
reach,đạt tới,verb
read,đọc,verb
ready,sẵn sàng,adjective
real,thực,adjective
reality,thực tế,noun
realize,nhận ra,verb
really,thực sự,adverb
reason,lý do,noun
receive,nhận,verb
recent,gần đây,adjective
recently,gần đây,adverb
recognize,nhận ra,verb
record,bản ghi,noun
reduce,giảm,verb
reflect,phản ánh,verb
region,khu vực,noun
relate,liên quan,verb
relationship,mối quan hệ,noun
religious,tôn giáo,adjective
remain,còn lại,verb
remember,nhớ,verb
remove,loại bỏ,verb
report,báo cáo,noun
represent,đại diện,verb
require,yêu cầu,verb
research,nghiên cứu,noun
resource,tài nguyên,noun
respond,phản hồi,verb
response,phản hồi,noun
responsibility,trách nhiệm,noun
rest,nghỉ ngơi,noun
result,kết quả,noun
return,trở lại,verb
reveal,tiết lộ,verb
rich,giàu,adjective
right,đúng,adjective
rise,tăng lên,verb
risk,rủi ro,noun
road,con đường,noun
rock,đá,noun
role,vai trò,noun
room,phòng,noun
rule,quy tắc,noun
run,chạy,verb
safe,an toàn,adjective
same,giống nhau,adjective
save,tiết kiệm,verb
say,nói,verb
scene,cảnh,noun
school,trường học,noun
science,khoa học,noun
scientist,nhà khoa học,noun
score,điểm,noun
sea,biển,noun
season,mùa,noun
seat,chỗ ngồi,noun
second,thứ hai,adjective
section,phần,noun
security,an ninh,noun
see,nhìn thấy,verb
seek,tìm kiếm,verb
seem,dường như,verb
sell,bán,verb
send,gửi,verb
senior,cao cấp,adjective
sense,cảm giác,noun
series,loạt,noun
serious,nghiêm trọng,adjective
serve,phục vụ,verb
service,dịch vụ,noun
set,đặt,verb
seven,bảy,numeral
several,một vài,determiner
sex,giới tính,noun
sexual,tình dục,adjective
shake,lắc,verb
share,chia sẻ,verb
she,cô ấy,pronoun
shoot,bắn,verb
short,ngắn,adjective
should,nên,modal
shoulder,vai,noun
show,cho thấy,verb
side,bên,noun
sign,dấu hiệu,noun
significant,quan trọng,adjective
similar,tương tự,adjective
simple,đơn giản,adjective
simply,đơn giản,adverb
since,kể từ,preposition
sing,hát,verb
single,đơn lẻ,adjective
sister,chị em gái,noun
sit,ngồi,verb
site,trang web,noun
situation,tình huống,noun
six,sáu,numeral
size,kích thước,noun
skill,kỹ năng,noun
skin,da,noun
small,nhỏ,adjective
smile,mỉm cười,verb
so,vì vậy,conjunction
social,xã hội,adjective
society,xã hội,noun
soldier,binh sĩ,noun
some,một vài,determiner
somebody,ai đó,pronoun
someone,ai đó,pronoun
something,điều gì đó,pronoun
sometimes,đôi khi,adverb
son,con trai,noun
song,bài hát,noun
soon,sớm,adverb
sort,loại,noun
sound,âm thanh,noun
source,nguồn,noun
south,nam,noun
space,không gian,noun
speak,nói,verb
special,đặc biệt,adjective
specific,cụ thể,adjective
speech,bài phát biểu,noun
spend,chi tiêu,verb
sport,thể thao,noun
spring,mùa xuân,noun
staff,nhân viên,noun
stage,giai đoạn,noun
stand,đứng,verb
standard,tiêu chuẩn,noun
star,ngôi sao,noun
start,bắt đầu,verb
state,trạng thái,noun
statement,tuyên bố,noun
station,nhà ga,noun
stay,ở lại,verb
step,bước,noun
still,vẫn,adverb
stock,cổ phiếu,noun
stop,dừng lại,verb
store,cửa hàng,noun
story,câu chuyện,noun
strategy,chiến lược,noun
street,đường phố,noun
strong,mạnh,adjective
structure,cấu trúc,noun
student,học sinh,noun
study,học,verb
stuff,đồ đạc,noun
style,phong cách,noun
subject,chủ đề,noun
success,thành công,noun
successful,thành công,adjective
such,như vậy,determiner
suddenly,đột nhiên,adverb
suffer,chịu đựng,verb
suggest,đề xuất,verb
summer,mùa hè,noun
support,hỗ trợ,noun
sure,chắc chắn,adjective
surface,bề mặt,noun
system,hệ thống,noun
table,bàn,noun
take,lấy,verb
talk,nói chuyện,verb
task,nhiệm vụ,noun
teach,dạy,verb
teacher,giáo viên,noun
team,đội,noun
technology,công nghệ,noun
television,truyền hình,noun
tell,nói,verb
ten,mười,numeral
tend,có xu hướng,verb
term,thuật ngữ,noun
test,kiểm tra,noun
than,hơn,conjunction
thank,cảm ơn,verb
that,đó,pronoun
the,hư từ,determiner
their,của họ,pronoun
them,họ,pronoun
themselves,chính họ,pronoun
then,sau đó,adverb
theory,lý thuyết,noun
there,ở đó,adverb
these,những cái này,pronoun
they,họ,pronoun
thing,vật,noun
think,suy nghĩ,verb
third,thứ ba,adjective
this,điều này,pronoun
those,những cái đó,pronoun
though,mặc dù,conjunction
thought,suy nghĩ,noun
thousand,nghìn,numeral
threat,mối đe dọa,noun
three,ba,numeral
through,xuyên qua,preposition
throughout,xuyên suốt,preposition
throw,ném,verb
thus,vì thế,adverb
time,thời gian,noun
to,đến,preposition
today,hôm nay,adverb
together,cùng nhau,adverb
tonight,tối nay,adverb
too,quá,adverb
top,đỉnh,noun
total,tổng,adjective
tough,khó khăn,adjective
toward,hướng tới,preposition
town,thị trấn,noun
trade,thương mại,noun
traditional,truyền thống,adjective
training,đào tạo,noun
travel,du lịch,verb
treat,đối xử,verb
treatment,điều trị,noun
tree,cây,noun
trial,phiên tòa,noun
trip,chuyến đi,noun
trouble,rắc rối,noun
true,đúng,adjective
truth,sự thật,noun
try,cố gắng,verb
turn,quay,verb
two,hai,numeral
type,loại,noun
under,dưới,preposition
understand,hiểu,verb
unit,đơn vị,noun
until,cho đến khi,preposition
up,lên,adverb
upon,trên,preposition
us,chúng tôi,pronoun
use,sử dụng,verb
usually,thường,adverb
value,giá trị,noun
various,khác nhau,adjective
very,rất,adverb
victim,nạn nhân,noun
view,quan điểm,noun
violence,bạo lực,noun
visit,thăm,verb
voice,giọng nói,noun
vote,bỏ phiếu,verb
wait,chờ,verb
walk,đi bộ,verb
wall,tường,noun
want,muốn,verb
war,chiến tranh,noun
watch,xem,verb
water,nước,noun
way,cách,noun
weapon,vũ khí,noun
wear,mặc,verb
week,tuần,noun
weight,trọng lượng,noun
well,tốt,adverb
west,tây,noun
what,cái gì,pronoun
whatever,bất cứ điều gì,pronoun
when,khi nào,adverb
where,ở đâu,adverb
whether,liệu rằng,conjunction
which,cái nào,pronoun
while,trong khi,conjunction
white,trắng,adjective
who,ai,pronoun
whole,toàn bộ,adjective
whom,ai,pronoun
whose,của ai,pronoun
why,tại sao,adverb
wide,rộng,adjective
wife,vợ,noun
will,sẽ,modal
win,chiến thắng,verb
wind,gió,noun
window,cửa sổ,noun
wish,ước,verb
with,với,preposition
within,trong,preposition
without,không có,preposition
woman,phụ nữ,noun
wonder,tự hỏi,verb
word,từ,noun
work,làm việc,verb
worker,công nhân,noun
world,thế giới,noun
worry,lo lắng,verb
write,viết,verb
writer,nhà văn,noun
wrong,sai,adjective
yard,sân,noun
yeah,vâng,interjection
year,năm,noun
yes,có,interjection
yet,chưa,adverb
young,trẻ,adjective
your,của bạn,pronoun
yourself,chính bạn,pronoun
abandon,từ bỏ,verb
absolute,tuyệt đối,adjective
absorb,hấp thụ,verb
abstract,trừu tượng,adjective
academic,học thuật,adjective
accelerate,tăng tốc,verb
accessible,có thể tiếp cận,adjective
accompany,đi cùng,verb
accomplish,hoàn thành,verb
accord,phù hợp,noun
account,tài khoản,noun
accuse,cáo buộc,verb
achieve,đạt được,verb
acknowledge,thừa nhận,verb
acquire,thu được,verb
adapt,thích nghi,verb
adequate,đầy đủ,adjective
adjust,điều chỉnh,verb
administration,chính quyền,noun
admire,ngưỡng mộ,verb
adopt,nhận nuôi,verb
advance,tiến lên,verb
advanced,nâng cao,adjective
advertise,quảng cáo,verb
advertisement,quảng cáo,noun
advise,khuyên,verb
affair,chuyện,noun
agency,cơ quan,noun
agenda,chương trình nghị sự,noun
aggressive,hung hăng,adjective
aid,viện trợ,noun
aim,mục tiêu,noun
alarm,báo động,noun
album,album,noun
alert,cảnh báo,adjective
alien,người ngoài hành tinh,noun
alike,giống nhau,adjective
alive,còn sống,adjective
alter,thay đổi,verb
alternative,thay thế,noun
amazing,tuyệt vời,adjective
ambition,tham vọng,noun
analysis,phân tích,noun
analyze,phân tích,verb
ancestor,tổ tiên,noun
angle,góc,noun
announce,thông báo,verb
annual,hàng năm,adjective
anxiety,lo lắng,noun
anxious,lo lắng,adjective
anyway,dù sao,adverb
apart,tách rời,adverb
apparent,rõ ràng,adjective
appeal,kháng cáo,verb
appoint,bổ nhiệm,verb
appreciate,đánh giá cao,verb
approach,tiếp cận,verb
appropriate,phù hợp,adjective
approval,sự chấp thuận,noun
approve,phê duyệt,verb
approximately,xấp xỉ,adverb
architect,kiến trúc sư,noun
architecture,kiến trúc,noun
argue,tranh cãi,verb
argument,lập luận,noun
arise,nảy sinh,verb
armed,có vũ trang,adjective
arrange,sắp xếp,verb
arrangement,sự sắp xếp,noun
arrest,bắt giữ,verb
arrival,sự đến,noun
artificial,nhân tạo,adjective
ash,tro,noun
aside,sang một bên,adverb
aspect,khía cạnh,noun
assess,đánh giá,verb
assessment,sự đánh giá,noun
asset,tài sản,noun
assign,phân công,verb
assignment,bài tập,noun
assist,hỗ trợ,verb
assistance,sự giúp đỡ,noun
associate,liên kết,verb
association,hiệp hội,noun
assume,giả định,verb
assumption,giả định,noun
assure,đảm bảo,verb
athlete,vận động viên,noun
atmosphere,bầu không khí,noun
attach,đính kèm,verb
attack,cuộc tấn công,noun
attempt,cố gắng,noun
attend,tham dự,verb
attention,sự chú ý,noun
attitude,thái độ,noun
attract,thu hút,verb
attractive,hấp dẫn,adjective
attribute,thuộc tính,noun
audience,khán giả,noun
authority,chính quyền,noun
automatic,tự động,adjective
automatically,tự động,adverb
available,có sẵn,adjective
average,trung bình,adjective
award,giải thưởng,noun
aware,nhận thức,adjective
awareness,sự nhận thức,noun
awful,tệ hại,adjective
background,nền tảng,noun
badly,tệ,adverb
bare,trần,adjective
barely,hầu như không,adverb
barrier,rào cản,noun
base,dựa vào,verb
battle,trận chiến,noun
beach,bãi biển,noun
bear,gấu,noun
beat,đánh bại,verb
beauty,vẻ đẹp,noun
beg,xin,verb
beginning,sự bắt đầu,noun
being,sinh vật,noun
belong,thuộc về,verb
below,dưới,preposition
beneath,bên dưới,preposition
beside,bên cạnh,preposition
besides,ngoài ra,preposition
bet,cá cược,verb
beyond,vượt quá,preposition
bias,thiên vị,noun
bid,giá thầu,noun
bind,buộc,verb
biological,sinh học,adjective
birth,sinh ra,verb
bitter,đắng,adjective
blame,đổ lỗi,verb
blank,trống,adjective
blind,mù,adjective
block,khối,noun
blow,thổi,verb
board,lên tàu,verb
bond,mối liên kết,noun
bone,xương,noun
border,biên giới,noun
borrow,mượn,verb
boss,sếp,noun
bother,làm phiền,verb
bottle,chất lỏng,noun
bottom,đáy,noun
boundary,ranh giới,noun
brain,não,noun
branch,chi nhánh,noun
brand,thương hiệu,noun
brave,dũng cảm,adjective
breath,hơi thở,noun
breathe,thở,verb
brick,gạch,noun
brief,ngắn gọn,adjective
bright,sáng,adjective
brilliant,xuất sắc,adjective
broad,rộng,adjective
broadcast,phát sóng,verb
brush,bàn chải,noun
budget,ngân sách,noun
bullet,đạn,noun
bunch,bó,noun
burden,gánh nặng,noun
burn,đốt,verb
bury,chôn,verb
button,nút,noun
calculate,tính toán,verb
calculation,phép tính,noun
calendar,lịch,noun
calm,bình tĩnh,adjective
camp,trại,noun
campaign,vận động,verb
campus,khuôn viên,noun
cap,mũ,noun
capacity,sức chứa,noun
capture,bắt giữ,verb
carbon,carbon,noun
card,thẻ,noun
careful,cẩn thận,adjective
carefully,cẩn thận,adverb
carrier,người vận chuyển,noun
cash,tiền mặt,noun
cast,ném,verb
category,danh mục,noun
ceiling,trần nhà,noun
celebrate,kỷ niệm,verb
celebration,lễ kỷ niệm,noun
cellular,thuộc tế bào,adjective
cement,xi măng,noun
chain,chuỗi,noun
chairman,chủ tịch,noun
challenge,thách thức,noun
champion,nhà vô địch,noun
channel,kênh,noun
chapter,chương,noun
characteristic,đặc điểm,noun
charity,từ thiện,noun
chart,biểu đồ,noun
cheap,rẻ,adjective
cheat,gian lận,verb
chemical,hóa chất,noun
chest,ngực,noun
chief,người đứng đầu,noun
childhood,thời thơ ấu,noun
chip,vi mạch,noun
circle,vòng tròn,noun
cite,trích dẫn,verb
citizen,công dân,noun
civilian,dân thường,noun
classic,kinh điển,adjective
climate,khí hậu,noun
clinical,lâm sàng,adjective
clock,đồng hồ,noun
cloud,mây,noun
cluster,cụm,noun
coach,huấn luyện,verb
coal,than đá,noun
coast,bờ biển,noun
code,mã,noun
collapse,sụp đổ,verb
colleague,đồng nghiệp,noun
collect,thu thập,verb
collection,bộ sưu tập,noun
colony,thuộc địa,noun
column,cột,noun
combination,sự kết hợp,noun
combine,kết hợp,verb
comfort,thoải mái,noun
comfortable,thoải mái,adjective
command,mệnh lệnh,noun
comment,bình luận,noun
commercial,quảng cáo,noun
commission,hoa hồng,noun
commit,cam kết,verb
commitment,sự cam kết,noun
committee,ủy ban,noun
communicate,giao tiếp,verb
communication,giao tiếp,noun
community,cộng đồng,noun
companion,bạn đồng hành,noun
company,đồng hành,verb
compare,so sánh,verb
comparison,sự so sánh,noun
compete,cạnh tranh,verb
competition,sự cạnh tranh,noun
competitive,cạnh tranh,adjective
complain,phàn nàn,verb
complaint,lời phàn nàn,noun
complete,hoàn thành,verb
complex,phức tạp,adjective
complicated,phức tạp,adjective
component,thành phần,noun
compose,sáng tác,verb
composition,bố cục,noun
compound,hợp chất,noun
comprehensive,toàn diện,adjective
concentrate,tập trung,verb
concentration,sự tập trung,noun
concept,khái niệm,noun
concern,lo lắng,verb
concert,buổi hòa nhạc,noun
conclude,kết luận,verb
conclusion,kết luận,noun
concrete,bê tông,noun
confident,tự tin,adjective
confirm,xác nhận,verb
conflict,xung đột,noun
confuse,làm bối rối,verb
confusion,sự bối rối,noun
connect,kết nối,verb
connection,kết nối,noun
conscious,có ý thức,adjective
